iter	Passed	Remaining
390	1118	1741
391	1121	1738
392	1123	1735
393	1126	1732
394	1129	1729
395	1131	1725
396	1134	1722
397	1136	1719
398	1139	1716
399	1142	1713
400	1145	1711
401	1149	1709
402	1151	1706
403	1154	1703
404	1157	1700
405	1160	1697
406	1163	1695
407	1167	1693
408	1170	1691
409	1174	1689
410	1176	1685
411	1180	1684
412	1183	1682
413	1186	1679
414	1189	1676
415	1192	1673
416	1195	1670
417	1197	1667
418	1200	1664
419	1202	1661
420	1205	1658
421	1208	1655
422	1211	1652
423	1213	1649
424	1215	1644
425	1218	1641
426	1221	1638
427	1223	1635
428	1225	1631
429	1228	1628
430	1230	1625
431	1233	1622
432	1235	1617
433	1238	1615
434	1241	1612
435	1243	1609
436	1246	1605
437	1249	1602
438	1251	1599
439	1254	1596
440	1256	1592
441	1258	1589
442	1261	1586
443	1264	1583
444	1267	1580
445	1269	1577
446	1272	1574
447	1275	1571
448	1278	1568
449	1281	1566
450	1283	1563
451	1286	1560
452	1289	1557
453	1290	1552
454	1293	1549
455	1296	1546
456	1299	1543
457	1301	1540
458	1304	1537
459	1307	1534
460	1310	1532
461	1313	1529
462	1315	1526
463	1318	1523
464	1321	1520
465	1324	1517
466	1326	1514
467	1329	1511
468	1332	1508
469	1335	1505
470	1338	1503
471	1342	1501
472	1345	1498
473	1347	1495
474	1351	1493
475	1355	1492
476	1358	1489
477	1361	1486
478	1364	1483
479	1366	1480
480	1369	1477
481	1372	1475
482	1375	1472
483	1378	1469
484	1381	1466
485	1383	1463
486	1385	1459
487	1387	1456
488	1389	1452
489	1392	1449
490	1394	1445
491	1397	1442
492	1400	1439
493	1402	1436
494	1405	1434
495	1408	1431
496	1411	1428
497	1413	1425
498	1415	1421
499	1418	1418
500	1420	1415
501	1423	1412
502	1425	1408
503	1427	1405
504	1430	1402
505	1433	1399
506	1436	1396
507	1438	1393
508	1441	1390
509	1443	1387
510	1446	1384
511	1449	1381
512	1451	1378
513	1454	1375
514	1457	1372
515	1460	1369
516	1462	1366
517	1465	1363
518	1467	1360
519	1470	1357
520	1473	1354
521	1475	1351
522	1478	1348
523	1481	1345
524	1484	1342
525	1486	1339
526	1488	1335
527	1490	1332
528	1493	1329
529	1495	1326
530	1498	1323
531	1501	1320
532	1504	1318
533	1507	1315
534	1509	1312
535	1512	1309
536	1515	1306
537	1518	1303
538	1520	1300
539	1523	1297
540	1526	1294
541	1528	1291
542	1531	1289
543	1534	1286
544	1537	1283
545	1540	1280
546	1543	1278
547	1546	1275
548	1548	1272
549	1551	1269
550	1554	1266
551	1557	1263
552	1561	1261
553	1564	1259
554	1567	1256
555	1569	1253
556	1571	1250
557	1574	1247
558	1577	1244
559	1580	1241
560	1583	1238
561	1585	1235
562	1588	1233
563	1591	1230
564	1594	1227
565	1596	1224
566	1599	1221
567	1602	1218
568	1605	1215
569	1607	1213
570	1610	1210
571	1613	1207
572	1616	1204
573	1618	1201
574	1621	1198
575	1623	1195
576	1626	1192
577	1629	1189
578	1632	1186
579	1635	1184
580	1637	1181
581	1640	1178
582	1643	1175
583	1646	1172
584	1648	1169
585	1651	1166
586	1654	1164
587	1657	1161
588	1660	1158
589	1662	1155
590	1664	1151
591	1667	1148
592	1669	1146
593	1672	1143
594	1675	1140
595	1678	1137
596	1681	1134
597	1683	1131
598	1686	1129
599	1689	1126
600	1691	1122
601	1694	1120
602	1697	1117
603	1700	1114
604	1702	1111
605	1705	1108
606	1708	1106
607	1711	1103
608	1713	1100
609	1716	1097
610	1719	1094
611	1722	1091
612	1724	1088
613	1727	1086
614	1730	1083
615	1733	1080
616	1736	1077
617	1739	1075
618	1742	1072
619	1745	1069
620	1748	1066
621	1750	1064
622	1754	1061
623	1757	1059
624	1760	1056
625	1764	1053
626	1766	1051
627	1769	1048
628	1772	1045
629	1775	1042
630	1778	1039
631	1779	1036
632	1782	1033
633	1785	1030
634	1788	1028
635	1791	1025
636	1794	1022
637	1796	1019
638	1799	1016
639	1802	1013
640	1805	1011
641	1808	1008
642	1810	1005
643	1813	1002
644	1816	999
645	1819	996
646	1822	994
647	1824	991
648	1827	988
649	1830	985
650	1833	982
651	1836	979
652	1838	977
653	1841	974
654	1844	971
655	1847	968
656	1849	965
657	1852	962
658	1855	960
659	1857	956
660	1860	953
661	1862	951
662	1865	948
663	1868	945
664	1871	942
665	1873	939
666	1876	936
667	1879	934
668	1882	931
669	1884	928
670	1887	925
671	1890	922
672	1893	919
673	1895	916
674	1897	913
675	1900	910
676	1903	908
677	1905	905
678	1908	902
679	1911	899
680	1914	896
681	1916	893
682	1919	891
683	1922	888
684	1925	885
685	1928	882
686	1931	879
687	1934	877
688	1936	874
689	1940	871
690	1944	869
691	1946	866
692	1949	863
693	1952	860
694	1955	858
695	1958	855
696	1960	852
697	1963	849
698	1966	846
699	1969	844
700	1972	841
701	1974	838
702	1977	835
703	1980	832
704	1983	829
705	1986	827
706	1988	824
707	1991	821
708	1994	818
709	1997	815
710	1999	812
711	2002	810
712	2005	807
713	2008	804
714	2010	801
715	2013	798
716	2016	795
717	2018	792
718	2021	790
719	2024	787
720	2027	784
721	2030	781
722	2032	778
723	2035	776
724	2038	773
725	2041	770
726	2043	767
727	2046	764
728	2049	761
729	2052	759
730	2055	756
731	2057	753
732	2060	750
733	2063	747
734	2065	744
735	2068	742
736	2071	739
737	2074	736
738	2077	733
739	2079	730
740	2082	727
741	2084	724
742	2087	722
743	2090	719
744	2093	716
745	2096	713
746	2099	711
747	2102	708
748	2104	705
749	2107	702
750	2110	699
751	2112	696
752	2115	693
753	2119	691
754	2122	688
755	2124	685
756	2127	683
757	2130	680
758	2134	677
759	2137	674
760	2140	672
761	2143	669
762	2146	666
763	2148	663
764	2151	660
765	2153	657
766	2156	655
767	2158	652
768	2161	649
769	2163	646
770	2166	643
771	2168	640
772	2171	637
773	2173	634
774	2176	631
775	2179	629
776	2182	626
777	2184	623
778	2187	620
779	2190	617
780	2193	615
781	2196	612
782	2198	609
783	2201	606
784	2204	603
785	2207	600
786	2210	598
787	2213	595
788	2216	592
789	2219	589
790	2221	587
791	2224	584
792	2227	581
793	2230	578
794	2233	575
795	2235	573
796	2238	570
797	2241	567
798	2244	564
799	2247	561
800	2250	559
801	2253	556
802	2257	553
803	2260	550
804	2262	548
805	2265	545
806	2269	542
807	2272	539
808	2275	537
809	2278	534
810	2281	531
811	2284	528
812	2288	526
813	2291	523
814	2297	521
815	2300	518
816	2303	515
817	2306	513
818	2311	510
819	2314	508
820	2317	505
821	2321	502
822	2323	499
823	2327	497
824	2329	494
825	2334	491
826	2338	489
827	2343	486
828	2347	484
829	2351	481
830	2354	478
831	2358	476
832	2362	473
833	2367	471
834	2370	468
835	2375	465
836	2378	463
837	2382	460
838	2385	457
839	2390	455
840	2393	452
841	2397	449
842	2401	447
843	2406	444
844	2409	441
845	2413	439
846	2417	436
847	2421	434
848	2424	431
849	2429	428
850	2432	425
851	2437	423
852	2440	420
853	2445	418
854	2448	415
855	2453	412
856	2456	409
857	2460	407
858	2464	404
859	2468	401
860	2471	399
861	2476	396
862	2479	393
863	2483	390
864	2486	388
865	2491	385
866	2495	382
867	2499	380
868	2503	377
869	2507	374
870	2511	371
871	2514	369
872	2544	370
873	2553	368
874	2557	365
875	2561	362
876	2564	359
877	2567	356
878	2571	353
879	2575	351
880	2579	348
881	2582	345
882	2586	342
883	2590	339
884	2594	337
885	2597	334
886	2600	331
887	2603	328
888	2607	325
889	2611	322
890	2614	319
891	2619	317
892	2622	314
893	2626	311
894	2629	308
895	2634	305
896	2637	302
897	2641	300
898	2645	297
899	2650	294
900	2653	291
901	2657	288
902	2660	285
903	2664	282
904	2668	280
905	2673	277
906	2676	274
907	2681	271
908	2684	268
909	2690	266
910	2693	263
911	2697	260
912	2700	257
913	2703	254
914	2707	251
915	2713	248
916	2718	246
917	2722	243
918	2728	240
919	2731	237
920	2736	234
921	2740	231
922	2744	228
923	2749	226
924	2752	223
925	2757	220
926	2760	217
927	2764	214
928	2768	211
929	2771	208
930	2774	205
931	2777	202
932	2782	199
933	2785	196
934	2789	193
935	2792	190
936	2797	188
937	2800	185
938	2804	182
939	2807	179
940	2811	176
941	2815	173
942	2819	170
943	2822	167
944	2826	164
945	2830	161
946	2834	158
947	2837	155
948	2840	152
949	2844	149
950	2847	146
951	2852	143
952	2855	140
953	2859	137
954	2862	134
955	2867	131
956	2870	128
957	2874	126
958	2878	123
959	2883	120
960	2886	117
961	2889	114
962	2892	111
963	2896	108
964	2900	105
965	2903	102
966	2908	99
967	2913	96
968	2916	93
969	2920	90
970	2924	87
971	2928	84
972	2932	81
973	2936	78
974	2939	75
975	2943	72
976	2947	69
977	2951	66
978	2954	63
979	2958	60
980	2961	57
981	2964	54
982	2969	51
983	2972	48
984	2976	45
985	2980	42
986	2984	39
987	2987	36
988	2991	33
989	2995	30
990	2999	27
991	3002	24
992	3006	21
993	3010	18
994	3014	15
995	3017	12
996	3021	9
997	3025	6
998	3030	3
999	3034	0
