iter	Logloss
0	0.6866331754
1	0.6798990247
2	0.6730727858
3	0.6671140018
4	0.6613427737
5	0.6553731087
6	0.6500616769
7	0.6447584925
8	0.6393413741
9	0.6340613583
10	0.6290022947
11	0.6242091337
12	0.6186382837
13	0.613312125
14	0.6082274306
15	0.6041242357
16	0.5991087797
17	0.5947203615
18	0.5902492999
19	0.5858226107
20	0.5820103849
21	0.5782777473
22	0.5737742756
23	0.569816779
24	0.5657518749
25	0.5631700537
26	0.5608448217
27	0.5572405572
28	0.5532630425
29	0.5509253639
30	0.5474435855
31	0.5447379113
32	0.5417241757
33	0.5382907857
34	0.5358855852
35	0.5332451284
36	0.530151768
37	0.5273973281
38	0.5243073721
39	0.5218811152
40	0.5194954941
41	0.5164266381
42	0.5134594089
43	0.510712828
44	0.5079522112
45	0.5056550404
46	0.5042667154
47	0.5015284784
48	0.4989759378
49	0.4972456694
50	0.4944829509
51	0.4925422734
52	0.49041444
53	0.4881125633
54	0.4861449674
55	0.4841287809
56	0.4820869208
57	0.4803573846
58	0.4787231684
59	0.4765825623
60	0.4745018513
61	0.4724762011
62	0.4706074724
63	0.4686247614
64	0.4673553554
65	0.4657139154
66	0.464012064
67	0.4621843347
68	0.4604351216
69	0.4589241724
70	0.4573982787
71	0.4559780944
72	0.4548499112
73	0.4533916229
74	0.4519005179
75	0.4505820785
76	0.4498084925
77	0.4483829503
78	0.4474787577
79	0.4461247193
80	0.4446886631
81	0.4434806884
82	0.4425361525
83	0.441273415
84	0.4400048703
85	0.4387097977
86	0.4379922231
87	0.4368510125
88	0.4358315297
89	0.434792198
90	0.4345804433
91	0.4335868065
92	0.4326147499
93	0.4318592151
94	0.4311490435
95	0.4301323554
96	0.4292709374
97	0.4282209781
98	0.4271835441
99	0.4262825566
100	0.4257194135
101	0.425373231
102	0.4247683511
103	0.4238237784
104	0.4233176125
105	0.4224759705
106	0.4217346391
107	0.4210016052
108	0.4202076585
109	0.4194529625
110	0.418677189
111	0.4179443082
112	0.4175405394
113	0.4167658955
114	0.4160057705
115	0.4151188334
116	0.4142472515
117	0.4135449198
118	0.4125935052
119	0.4121272592
120	0.4113746106
121	0.4109679855
122	0.4101959581
123	0.4096303799
124	0.4092606089
125	0.4086436742
126	0.4079607378
127	0.407350359
128	0.4065680062
129	0.4062902479
130	0.4056554318
131	0.40506111
132	0.4046731309
133	0.4042303089
134	0.4037290782
135	0.4031041082
136	0.4026610123
137	0.402191457
138	0.4017793396
139	0.4013736989
140	0.4009191014
141	0.4006558396
142	0.4000667766
143	0.3995696447
144	0.3991876034
145	0.3987537603
146	0.398688435
147	0.3981569918
148	0.3979188475
149	0.3973990263
150	0.3968385585
151	0.3962789816
152	0.3960443099
153	0.3955968599
154	0.3953249974
155	0.3948364712
156	0.3943358044
157	0.3938896612
158	0.3935459387
159	0.3934664213
160	0.3929194592
161	0.3924107447
162	0.3920663735
163	0.3919498123
164	0.3915264706
165	0.3912655146
166	0.3908769155
167	0.3904828595
168	0.3900558958
169	0.3896728412
170	0.3890959811
171	0.3890084784
172	0.3885803617
173	0.3882377931
174	0.3877370225
175	0.3874220282
176	0.3873292877
177	0.3868160921
178	0.3865510936
179	0.386235995
180	0.3858063928
181	0.3854857836
182	0.3851577662
183	0.3848710322
184	0.384500682
185	0.3840708994
186	0.3839177005
187	0.3835958488
188	0.3832886892
189	0.3828916699
190	0.3827713449
191	0.3823778087
192	0.382072087
193	0.3816211164
194	0.3813813853
195	0.3811763202
196	0.3809522653
197	0.3806825272
198	0.3803237246
199	0.3800359397
200	0.3799495228
201	0.3795955076
202	0.379209867
203	0.3788398259
204	0.3785618847
205	0.3783597315
206	0.378226994
207	0.3780207107
208	0.3777495117
209	0.3774278134
210	0.3771103215
211	0.376765396
212	0.3765885542
213	0.3763897784
214	0.3762221495
215	0.3758964633
216	0.3756672609
217	0.3754699485
218	0.3752414827
219	0.3751169503
220	0.3747896793
221	0.3744039222
222	0.3743402442
223	0.3739832085
224	0.3736633347
225	0.3733387501
226	0.3731923899
227	0.3729158776
228	0.3727619509
229	0.372490561
230	0.3722800469
231	0.3721203269
232	0.3716176806
233	0.3714742123
234	0.3710831903
235	0.3708905987
236	0.3707120424
237	0.370607924
238	0.3703736977
239	0.3700732413
240	0.3697339241
241	0.3695890261
242	0.3693866823
243	0.3692275822
244	0.3689131577
245	0.3687758399
246	0.368679686
247	0.368427953
248	0.3682197496
249	0.3679366569
250	0.3675179673
251	0.3673405233
252	0.3671205527
253	0.3669671618
254	0.3667388178
255	0.3665107974
256	0.3662293542
257	0.3660257514
258	0.3658698778
259	0.3656939189
260	0.3655400232
261	0.365299359
262	0.3651848818
263	0.3649423972
264	0.3647333303
265	0.3644917151
266	0.3644174802
267	0.3642105842
268	0.364017283
269	0.3637766938
270	0.3635547835
271	0.363296364
272	0.3631634607
273	0.3630929185
274	0.3628559129
275	0.3626098714
276	0.3624882857
277	0.3623071729
278	0.3621784651
279	0.3620007426
280	0.3617385131
281	0.361571789
282	0.3615111391
283	0.3612811426
284	0.3610925636
285	0.3609041606
286	0.3607228218
287	0.3606500989
288	0.3603876865
289	0.3601592055
290	0.3600815121
291	0.3598254227
292	0.3597540935
293	0.3596412324
294	0.3594480104
295	0.3591719658
296	0.3590813167
297	0.3589203018
